date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:05:11	30630/30630	---M-Z	200	added ('OK')	application/javascript	etag:%22a8c6a368e833a3e86f194b6c3726d09e%22	http://img1.wsimg.com/blobby/go/81a2182d-4fc8-4cb2-8b7e-9752c3c1df11/gpub/97b363b396dc1737/script.js	C:/Users/Shikhar/Desktop/New%20folder/web/img1.wsimg.com/blobby/go/81a2182d-4fc8-4cb2-8b7e-9752c3c1df11/gpub/97b363b396dc1737/script.js	(from https://stocksavenue.in/shop-now)
10:05:11	964/964	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2022%20Sep%202022%2004:35:10%20GMT	https://stocksavenue.in/%22https://1.bp.blogspot.com/-GanPunbEYCY/X_2Hr35rJ9I/AAAAAAAAC8s/gSQLznWOW1IyXueU1UkhJ9MF6FOgM2wOQCLcBGAsYHQ/w640-h426/Zerodha+%25281%2529.png%22	C:/Users/Shikhar/Desktop/New%20folder/web/stocksavenue.in/_https_/1.bp.blogspot.com/-GanPunbEYCY/X_2Hr35rJ9I/AAAAAAAAC8s/gSQLznWOW1IyXueU1UkhJ9MF6FOgM2wOQCLcBGAsYHQ/w640-h426/Zerodha+%281%29.png_	(from https://stocksavenue.in/demat-account-open)
10:05:12	59821/59821	---M-Z	200	added ('OK')	application/javascript	etag:%220550f6960896872c88c940142023ba89%22	http://img1.wsimg.com/blobby/go/81a2182d-4fc8-4cb2-8b7e-9752c3c1df11/gpub/d4955febb40f06a8/script.js	C:/Users/Shikhar/Desktop/New%20folder/web/img1.wsimg.com/blobby/go/81a2182d-4fc8-4cb2-8b7e-9752c3c1df11/gpub/d4955febb40f06a8/script.js	(from https://stocksavenue.in/demat-account-open)
10:05:12	34989/34989	---M-Z	200	added ('OK')	application/javascript	etag:%22fd2aeb507497a18637b5160ef4b12b33%22	http://img1.wsimg.com/blobby/go/81a2182d-4fc8-4cb2-8b7e-9752c3c1df11/gpub/a6626cd7e96ea647/script.js	C:/Users/Shikhar/Desktop/New%20folder/web/img1.wsimg.com/blobby/go/81a2182d-4fc8-4cb2-8b7e-9752c3c1df11/gpub/a6626cd7e96ea647/script.js	(from https://stocksavenue.in/demat-account-open)
10:05:13	91558/91558	---MCZ	200	added ('OK')	text/html	etag:5c4e9f19bd9ffacd7e7c2795270e731d	https://stocksavenue.in/m/login	C:/Users/Shikhar/Desktop/New%20folder/web/stocksavenue.in/m/login.html	(from https://stocksavenue.in/m/login?r=%2Fm%2Faccount)
10:05:14	59821/59821	---M-Z	200	added ('OK')	application/javascript	etag:%223de0d77c7808108b06a7f27816b3e56a%22	http://img1.wsimg.com/blobby/go/81a2182d-4fc8-4cb2-8b7e-9752c3c1df11/gpub/b30d6e1eab79ec3a/script.js	C:/Users/Shikhar/Desktop/New%20folder/web/img1.wsimg.com/blobby/go/81a2182d-4fc8-4cb2-8b7e-9752c3c1df11/gpub/b30d6e1eab79ec3a/script.js	(from https://stocksavenue.in/m/login?r=%2Fm%2Faccount)
10:05:15	46730/46730	---M-Z	200	added ('OK')	application/javascript	etag:%22bf03d5322e6d86e01f14dd594d47bc26%22	http://img1.wsimg.com/blobby/go/81a2182d-4fc8-4cb2-8b7e-9752c3c1df11/gpub/7199c7b11cc141aa/script.js	C:/Users/Shikhar/Desktop/New%20folder/web/img1.wsimg.com/blobby/go/81a2182d-4fc8-4cb2-8b7e-9752c3c1df11/gpub/7199c7b11cc141aa/script.js	(from https://stocksavenue.in/m/login?r=%2Fm%2Faccount)
10:05:15	59821/59821	---M-Z	200	added ('OK')	application/javascript	etag:%22b2af5556111abb814312af7fb7b7b815%22	http://img1.wsimg.com/blobby/go/81a2182d-4fc8-4cb2-8b7e-9752c3c1df11/gpub/34bbf97d7a8ad790/script.js	C:/Users/Shikhar/Desktop/New%20folder/web/img1.wsimg.com/blobby/go/81a2182d-4fc8-4cb2-8b7e-9752c3c1df11/gpub/34bbf97d7a8ad790/script.js	(from https://stocksavenue.in/m/create-account)
10:05:16	66885/66885	---M-Z	200	added ('OK')	application/javascript	etag:%22c1ec8f7361f6343171be5d4d7bf5b63d%22	http://img1.wsimg.com/blobby/go/81a2182d-4fc8-4cb2-8b7e-9752c3c1df11/gpub/2041e920b61085be/script.js	C:/Users/Shikhar/Desktop/New%20folder/web/img1.wsimg.com/blobby/go/81a2182d-4fc8-4cb2-8b7e-9752c3c1df11/gpub/2041e920b61085be/script.js	(from https://stocksavenue.in/m/create-account)
10:05:16	964/964	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2022%20Sep%202022%2004:35:14%20GMT	https://stocksavenue.in/%22https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEhioKaGEe8Rdu0-fLOyVZI8fCNDjstygBGDflvyi1LucedkKejee_GG0jrW862g_N-9fSr-_p6cGPuPT5k4eIfKqjzLDlVplAGbsZR8soRfln8Pr23dPjv27YUMsfHwxB1MLd2sTQK3ZjGsjos2iTP5gkD3n4Pzial1xZkWION1_YueeuGo-cvdd5imYg/w400-h181/Studio-Project%20(1).png%22	C:/Users/Shikhar/Desktop/New%20folder/web/stocksavenue.in/_https_/blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEhioKaGEe8Rdu0-fLOyVZI8fCNDjstygBGDflvyi1L/w400-h181/Studio-Project%20(1).png_	(from https://stocksavenue.in/buy-sell-signal-indictors)
10:05:16	59821/59821	---M-Z	200	added ('OK')	application/javascript	etag:%228606088e4644510a5c497d7397ebdb5f%22	http://img1.wsimg.com/blobby/go/81a2182d-4fc8-4cb2-8b7e-9752c3c1df11/gpub/59420cc17eeb8752/script.js	C:/Users/Shikhar/Desktop/New%20folder/web/img1.wsimg.com/blobby/go/81a2182d-4fc8-4cb2-8b7e-9752c3c1df11/gpub/59420cc17eeb8752/script.js	(from https://stocksavenue.in/buy-sell-signal-indictors)
10:05:17	32739/32739	---M-Z	200	added ('OK')	application/javascript	etag:%229dacb517e0d0aa1f95cd2750084559e1%22	http://img1.wsimg.com/blobby/go/81a2182d-4fc8-4cb2-8b7e-9752c3c1df11/gpub/13b99ff1e2c22841/script.js	C:/Users/Shikhar/Desktop/New%20folder/web/img1.wsimg.com/blobby/go/81a2182d-4fc8-4cb2-8b7e-9752c3c1df11/gpub/13b99ff1e2c22841/script.js	(from https://stocksavenue.in/buy-sell-signal-indictors)
10:05:17	59821/59821	---M-Z	200	added ('OK')	application/javascript	etag:%2212b5cffe48a128715a2e8f1d967de004%22	http://img1.wsimg.com/blobby/go/81a2182d-4fc8-4cb2-8b7e-9752c3c1df11/gpub/b7b8097167266396/script.js	C:/Users/Shikhar/Desktop/New%20folder/web/img1.wsimg.com/blobby/go/81a2182d-4fc8-4cb2-8b7e-9752c3c1df11/gpub/b7b8097167266396/script.js	(from https://stocksavenue.in/terms-and-conditions)
10:05:18	30678/30678	---M-Z	200	added ('OK')	application/javascript	etag:%22541a5d5b566491e21d044310b505e863%22	http://img1.wsimg.com/blobby/go/81a2182d-4fc8-4cb2-8b7e-9752c3c1df11/gpub/389710083dfbe4f4/script.js	C:/Users/Shikhar/Desktop/New%20folder/web/img1.wsimg.com/blobby/go/81a2182d-4fc8-4cb2-8b7e-9752c3c1df11/gpub/389710083dfbe4f4/script.js	(from https://stocksavenue.in/terms-and-conditions)
10:05:18	964/964	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2022%20Sep%202022%2004:35:17%20GMT	https://stocksavenue.in/c	C:/Users/Shikhar/Desktop/New%20folder/web/stocksavenue.in/c	(from https://connect.facebook.net/en_US/fbevents.js)
10:05:18	964/964	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2022%20Sep%202022%2004:35:17%20GMT	https://stocksavenue.in/b	C:/Users/Shikhar/Desktop/New%20folder/web/stocksavenue.in/b	(from https://connect.facebook.net/en_US/fbevents.js)
10:05:19	964/964	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2022%20Sep%202022%2004:35:17%20GMT	https://stocksavenue.in/POST	C:/Users/Shikhar/Desktop/New%20folder/web/stocksavenue.in/POST	(from https://connect.facebook.net/en_US/fbevents.js)
